Date,Age,Missing from,Circumstances,
Apr-98,Unknown,"Death Valley National Park, U.S.","Abelar, a writer and anthropologist, disappeared with four other women while hitchhiking. One of the women's skeletons was found in 2006, but the other four, including Abelar, remain missing.",
28-Jul-98,18,"Newbridge, Ireland","Jacob, a student teacher, was last seen on 28 July 1998 around 3 p.m. near her home in Newbridge, County Kildare. In August 2018, the Garda Síochána announced that her disappearance was being treated as a murder case.",
28-Aug-98,37,"Tehran, Iran","Davani, an Iranian leftist activist and editor of an Iranian newspaper, disappeared on 28 August 1998 while leaving his residence. Some have suggested that Davani was murdered.",
c. 11 November 1998,77,"Huntsville, Ontario, Canada","Last known to be living on the property of the Laan family touted as a retirement home, Lawrence was paying over $700 in rent for an uninsulated shack without running water, heat, or electricity. It is believed that Lawrence, a ""cat lady,"" selected this accommodation to keep over 30 cats as pets. After being reported missing on 25 November 1998, the resulting Ontario Provincial Police (OPP) investigation did not locate Lawrence's body, but identified three other residents —John Semple (90), John Crofts (71) and Ralph Grant (70)— as missing. Their pension cheques, however, were still being cashed. No bodies have been recovered, and no one has faced charges in Lawrence's presumed homicide.",
05-Dec-98,8,"Rocky Point, Oregon, U.S.","Engebretson disappeared while searching for a Christmas tree with his father and grandfather. A circular path of footprints in the snow was traced to a road, where bits of chopped wood and a snow angel were discovered; Engebretson had a small hatchet with him at the time he disappeared. A convicted child rapist is considered a suspect in his disappearance.",
c. 1998,c. 40,Puerto Rico,Retired Puerto Rican professional basketball player Angelo Cruz disappeared during a trip to visit family in Puerto Rico.,
07-Feb-99,38,"Westminster, Colorado, U.S.","Nine-year-old Sarah Skiba accompanied her father, Paul, and Chivers, an employee at his moving company, on a furniture delivery job. This was the last time they were seen. A moving truck on the company lot was subsequently discovered with bullet holes in its door, blood smeared inside, and portions of a human scalp lying near the windshield. The whereabouts of all three remain unknown.",
9,,,,
36,,,,
12-Mar-99,37,"Curdridge, England","Palmer, a British timeshare salesman, traveled for unknown reasons from Spain to Curdridge in the UK in March 1999, where, following an argument in a taxi, he got out and was never seen again.",
07-May-99,47,Belarus,"Zacharanka, a Belarusian opposition leader, disappeared on 7 May 1999, and has not been seen since.",
16-May-99,55,"Istok, Kosovo","A Kosovo Albanian philosopher and activist, Hoti was the founder of UNIKOMB, a political party in Kosovo. He disappeared shortly before he was to be released from prison in May 1999. His whereabouts are unknown; many human rights activists consider him dead.",
29-May-99,20,"Newcastle, Ontario, Canada","Lamondin, a young Ojibwe woman, disappeared on 29 May 1999 and was likely murdered after attending a house party.",
16-Sep-99,42,"Minsk, Belarus","Hanchar, a Belarusian opposition leader, disappeared along with his friend, businessman Krasouski, from a streetside. Signs of a struggle were found where they were last seen; the two were widely believed to have been abducted and later murdered.",
47,,,,
7–10 October 1999,33,"Rainier, Oregon, U.S.","Teresa Ann Davidson-Murphy disappeared in Rainier, Oregon in between 7 and 10 October 1999 after leaving her house and has not been seen since. She is believed to be dead.",
16-Oct-99,16,"Tampere, Finland","Räisänen, a 16-year-old basketball player disappeared in downtown Tampere on 16 October 1999. The last confirmed sighting of her was at 10:50 p.m. local time. Due to an EU summit being held in Tampere on the same day, security had been tightened, and there were policemen from all over the country. Räisänen was declared dead in absentia in 2007. The investigation was changed from manslaughter to murder in September 2019, because the statute limitations on manslaughter in Finland is 20 years.",
Nov-99,Unknown,"Bratislava, Slovakia","Manafov, an Azerbaijani businessman and lawyer, disappeared in November 1999. Police have since investigated whether he was abducted or killed.",
15-Nov-99,16,"Terrebonne, Canada","Surprenant disappeared from Terrebonne, Quebec on 15 November 1999. A neighbour was quickly considered the prime suspect, but the authorities had insufficient evidence to charge him. In 2006, this same neighbour made a deathbed confession to her murder that was not revealed for several years.",
10-Dec-99,18,"Los Angeles, California, U.S.","Negrete, a music student at UCLA, disappeared from his student accommodation and was never seen again. Police have treated his disappearance as suspicious, and have classified the case as a homicide.",
14-Feb-00,9,"Shelby, North Carolina, U.S.","Degree was last seen in the early morning hours of 14 February 2000, while running into a woodlot off North Carolina Highway 18 on a rainy and very windy day. Some of her personal effects were found three days later in a nearby shed, and her backpack was found buried 20 miles (32 km) away in August 2001. No other signs of her have been found since then, and theories have ranged from running away to foul play.",
13-Mar-00,23,"Bellingham, Washington, U.S.","Roberts, a native of Durham, North Carolina, embarked on a cross-country road trip to northern Washington in early March 2000. Her car was found wrecked and abandoned some days later off the Mount Baker Highway. She had last been seen in a restaurant at a local shopping mall on 13 March. One report that she was seen walking disoriented around a gas station in Everett shortly after her car was discovered, and she has not been seen or heard from since.",
17-Mar-00,68,"Kanungu, Uganda","Kibweteere, a leader of the Movement for the Restoration of the Ten Commandments of God, is believed to have died on 17 March 2000, but in 2014, the Uganda National Police announced that reports were received that Kibweteere was hiding in Malawi.",
25-May-00,45,"Bukit Batu Lawi, Malaysia","A Swiss traveler who lived with the Penan people of Borneo during the 1970s and '80s, Manser became an internationally prominent activist in the fight for the Penan's land rights, and opposition to logging and rain-forest destruction. He was in the country illegally, and was continually hunted by authorities, and escaped numerous times under gunfire. He eventually escaped the country in disguise, and went on a world tour to raise awareness about the Penan, including founding a nonprofit organization. In 2000, against all advice, he covertly re-entered Borneo. Manser was last seen in the jungle near Bukit Batu Lawi, a 2,000-m limestone pinnacle in Sarawak. Manser stated his intention to climb the pinnacle alone. The Penan mounted a search and rescue mission after he failed to return. He has not been seen since.",
23-Jun-00,40,"Montreal, Quebec","Louis Roy was a very rich Hells Angels member, Canadian gangster, and outlaw biker who disappeared on 23 June 2000 from Montreal, Quebec and has not been seen since. He is believed to have been murdered.",
07-Jul-00,27,"Minsk, Belarus","Belarusian journalist and cameraman Zavadski disappeared on 7 July 2000 at the Minsk National Airport, and was presumably murdered.",
Aug-00,19,"Cambridge, England","Al Maktoum, an Emirati member of the Dubai ruling family who fled to the UK to live a less restrictive life, was abducted on the streets of Cambridge by four men hired by her father, flown back to Dubai, and has not been seen since.",
08-Dec-00,22,"Dublin, Ireland","Trevor Deely was returning home from his work's Christmas party in Dublin. He was seen talking to an unknown man outside his office. At 4:14 a.m. CCTV footage shows Deely walking past what was then the AIB bank on the corner of Baggot Street Bridge and Haddington Road in the direction of his apartment. About 30 seconds later, the footage shows a man dressed in black passing by the bank. Gardaí Síochána have said that they believe this is the same man who spoke to Deely outside his office. This man has never come forward to Gardaí, despite numerous appeals over many years since the disappearance. Deely's whereabouts remain unknown.",
c. 2001,60,"London, England","Shahi, a Pakistani religious scholar and founder of the Messiah Foundation International, an organization dedicated to spreading religious studies, disappeared from public view around 2001 while residing in London. Various rumors surround the circumstances of his disappearance, including that he has passed away in 2001 or 2003.",
02-Jan-01,26,"Grozny, Chechnya","Murdalov, a student, left his home on 2 January 2001, saying he would return, but never did. His parents tracked him down at the police station where an official promised that he would soon be released, but they have not seen their son since. According to witnesses, Murdalov was subsequently severely beaten while in police custody, and his fate remains unknown.",
18-Jan-01,4,"Miami, Florida, U.S.","Wilson, a foster child of the Florida Department of Children and Families, disappeared on 18 January 2001 in Miami. She was not reported missing until 2002, when she became the focus of an investigation into neglect and mismanagement in the organization.",
04-Apr-01,3,"Portland, Oregon, U.S.","Kirkpatrick and Henson were sisters who disappeared with their mother, Kimyala Henson, on 4 April 2001. Henson's body was found partially buried near Pyramid Lake on 28 April, but the fate of Kirkpatrick and baby Henson remains unknown.",
2 months,,,,
11-Apr-01,20,"Skidmore, Missouri, U.S.","Perry disappeared outside his home. A female friend was helping him clean in preparation for his father's return from the hospital; she stated he told her he was taking a pair of jumper cables to an exterior shed. He never returned. In 2004, while investigating Jack Wayne Rogers on unrelated charges, a message-board post from his computer was discovered detailing a first-hand account of Perry's alleged rape, torture and murder. Rogers denies involvement in his disappearance, and Perry's whereabouts remain unknown.",
17-May-01,17,"Phoenix, Arizona, U.S.","Turney was last seen by her stepfather around midday on 17 May 2001 after supposedly arguing with him. While the circumstances surrounding her case remain unclear, Turney's stepfather was later charged with her supposed murder. However, as of December 2021, he has not been convicted, and Alissa's body has not been found.",
10-Jun-01,22,"Brooklyn, New York, U.S.","Khazanov, a Russian–American mathematical child prodigy who was one of the youngest students to submit a perfect paper for the 1994 International Mathematical Olympiad, went missing after going out with his mountain bike, leaving behind a letter claiming that he was ""going to the library"". At the time of his disappearance, he was suffering from depression and drug addiction.",
13-Jun-01,19,"Omaha, Nebraska, U.S.","Jolkowski failed to show up at a local high school, where he had arranged to catch a ride to work with a friend. The last confirmed sighting of Jolkowski was by a neighbor, who reported seeing Jolkowski carrying trash cans into his garage about 30 minutes prior to when he was to meet at the high school.",
12-Jul-01,57,"League City, Texas, U.S.","57-year-old Tot Tran Harriman was last seen leaving her son's residence near League City, Texas in her 1995 Lincoln Continental on 12 July 2001. She had been visiting relatives in both League City and Corpus Christi. Neither Harriman nor her vehicle have been located.",
30-Jul-01,25,"Aachen Hauptbahnhof, Germany","Kerton, a British student nurse from Broadstairs, Kent, disappeared in Germany on 30 July 2001. She was last seen by the mother of her fiancée at Aachen Hauptbahnhof station, intending to travel to Ostend.",
10-Sep-01,31,"New York City, U.S.","Philip, a physician, was last seen 10 September 2001 on surveillance-camera footage from a store near her Lower Manhattan apartment. Due to the proximity of the World Trade Center, and her medical training, her family believes she perished trying to help victims of the next day's terrorist attack. A court has agreed, and she is officially considered to have died that way. The ruling was not unanimous, and no proof of her death has ever been found.",
11-Sep-01,34,"Smithboro, New York, U.S.","Harris was last seen leaving her boyfriend's apartment late on the night of 11 September 2001. She had gone there after work, to return to her home in nearby Spencer, where she and her wealthy husband were nearing the end of a bitter divorce. The next morning, her abandoned car was found on the road near her driveway. State police, their manpower, and their resources were limited at first, since they had been diverted to New York City in the wake of the terror attacks. Her husband was tried, convicted, but later overturned in three trials. He had reportedly made threats and there was blood evidence in the garage, although they never found a body or weapon.",
13-Jan-02,56,"Entre Ríos Province, Argentina","The six members of the Gill family were last seen visiting a friend in the town of Viale. Despite reported sightings, none of the family members has ever been seen again. Following the 2016 death of their landlord, who was alleged to have been involved in their disappearance, the case is being considered for reinvestigation.",
26,,,,
12,,,,
9,,,,
6,,,,
4,,,,
03-Apr-02,23,"Tucumán Province, Argentina","Argentinian woman Verón is believed to have been kidnapped on 3 April 2002 from her home town in the Tucumán province, and has not been seen since.",
22-Jun-02,14,Singapore,"Tina Lim Xin Ying was last seen leaving her home to visit her grandfather at about 4.15pm on 22 June 2002. She was not seen or heard of until 1 November 2003, the last day of her grandfather's funeral, when her family received a series of mysterious phone calls which appear to have been made by Tina, and the family made a police report. Police investigated the source of the calls and concluded they were not made by Tina, but her family disagrees with this. Since then, there has been no news about her.",
01-Jul-02,21,"Nanaimo, British Columbia, Canada","Young disappeared on Canada Day after partying with friends, last being seen in a maroon Jaguar. The driver was later questioned and released by investigators, who have made no progress in the case despite receiving hundreds of tips and having ""hundreds of witnesses"" on file. A neighbour of a relevant location reported seeing ""a body in a hammock"" and then ""equipment moving a lot of soil around in the backyard"". Eighteen years later the property was searched, although concerns have been raised as to RCMP efforts in the search, and of overall handling of the case.",
09-Nov-02,20,"Collegeville, Minnesota, U.S.","Guimond disappeared after leaving a party in Collegeville, Minnesota. He was last seen on a bridge spanning Stumpf Lake. The Stearns County Sheriff's Office discovered his scent by the lake using a K9 unit, and theorized he had fell or was pushed into the lake. Divers searched the lake multiple times and found no body. Investigators now theorize he was kidnapped or picked up via a car from the bridge.",
Dec-02,53,"Ashgabat, Turkmenistan","Şyhmyradow and Berdiýew were ex-Foreign Ministers of Turkmenistan who announced their opposition to then President Saparmurat Niyazov. They were detained and sentenced to life imprisonment, after they were convicted of alleged participation in a plot against Niyazov in 2002. Little is known about their life in prison after a closed trial, and it is unknown whether they are still alive. Their whereabouts remain unknown.",
42,,,,
c. 2002,26,"Tehran, Iran","Zeinali, an Iranian student at Tehran University, was arrested on 10 July 1999, and was said to be held in jail at least until 2002. He disappeared after being released and has not been seen since.",
c. 2002,37,"Zadran District, Afghanistan","Ahmadullah, an Afghan politician and the first interior minister of the Taliban, was supposedly killed by a drone strike in early 2002, but was later determined to be alive. His whereabouts remain unknown.",
04-Feb-03,4,"Kennewick, Washington, U.S.","One day before her fifth birthday, Juarez told her mother she would accompany her grandmother's boyfriend to a local convenience store, but after being left behind, left the house anyway. Witnesses may have seen her after she left the house, but she never arrived at the store, and her whereabouts are unknown.",
Mar-03,59–60,Iraq,"Salah Aboud Mahmoud, a former Iraqi Army general who was highly involved in the Persian Gulf War, mysteriously disappeared after the invasion of Iraq in March 2003, and has not been seen or heard from since.",
22-Mar-03,43–44,Iraq,Frédéric Nérac was a French journalist who mysteriously disappeared on 22 March 2003 while reporting in Iraq. Search attempts to locate Nérac have been unsuccessful.,
25-May-03,50,"Luanda, Angola","Padilla, a licensed aircraft mechanic, flight engineer, and pilot of small airplanes, and Mutantu, a hired mechanic from the Republic of the Congo, were on board a Boeing 727-223 designation N844AA when it was stolen. They have not been heard from since.",
Unknown,,,,
14-Jun-03,5,"Chisholm, Minnesota, U.S.","LeeAnna Warner, an American female child, disappeared from Chisholm, Minnesota on 14 June 2003 and is believed to have been kidnapped and murdered.",
04-Jul-03,34,"Nazran, Russia","Astamirov, a Chechen journalist, who was working for Agence France Presse in Ingushetia, Russia, was allegedly kidnapped at gunpoint by a group of three masked men in uniforms on 4 July 2003. His whereabouts are unknown.",
11-Aug-03,Unknown,"Cairo, Egypt","Egyptian journalist Helal went missing on 11 August 2003 in downtown Cairo, and is believed to have been kidnapped, but little evidence supports this belief.",
01-Oct-03,24,"Naples, Florida, U.S.","Santos was last seen being arrested for driving without a license after a traffic accident. Jail records show he was never booked, and Officer Steve Calkins claimed to have changed his mind and left Santos at a nearby Circle K convenience store. Three months later, another man, Terrance Williams, disappeared after being arrested by the same police officer.",
09-Oct-03,37,Iraq,"Von Ackermann disappeared after calling an Iraqi employee of U.S. defense contractor Ultra Services, and telling him he needed help fixing a flat tire on his car. When the employee arrived at the location given, between Kirkuk and Tikrit, 45 minutes later, von Ackermann was gone. No signs of a struggle were noticed, and $40,000 in cash were found in the car, along with von Ackermann's laptop and satellite phone. The circumstances suggest he was not the victim of a robbery attempt, and neither his employer nor family were ever contacted with ransom demands. Nevertheless, the U.S. Army Criminal Investigation Command later concluded he had been killed in a botched kidnapping, and they still consider the case open, though his body has not been found.",
01-Nov-03,14,"Blackpool, England","Downes disappeared from her home town of Blackpool, and has not been seen since. She may have been murdered.",
14-Dec-03,22,"Timmins, Canada","Holopainen was last sighted leaving a house party with her common-law spouse on foot in Timmins, Ontario, and has not been seen since. Although no physical leads have been found by investigators since her disappearance, she is believed to be the victim of foul play.",
Early 2004,Unknown,Pakistan,"Mahmood was initially assigned a 10 November 2003 court date in Islamabad, and made court appearances over the following four weeks. However, despite the ongoing legal process, his whereabouts became unclear by early 2004. He has not been seen or heard from since.",
12-Jan-04,27,"Naples, Florida, U.S.","Williams disappeared after being arrested by Collier County sheriff's deputy Steve Calkins on 12 January 2004. The circumstances of his disappearance were similar to that of Felipe Santos, who disappeared after being stopped and arrested by the same officer three months earlier.",
09-Feb-04,21,"Woodsville, New Hampshire, U.S.","Murray, a nursing student at the University of Massachusetts Amherst, was last seen on New Hampshire Route 112 at the scene of a minor one-vehicle accident, in which her car was disabled after crashing into a roadside snowbank. Earlier on the day of her disappearance, she had lied to professors about a death in her family, stating that she would be absent from class for a week. A school bus driver who happened upon Murray's crash site stopped to ask if she needed help, and Murray declined. Upon returning home a short time later, the bus driver called police anyway, but by the time first responders arrived, 10 minutes later, Murray had vanished. Her keys, bank card, and credit cards have never been located, despite extensive searches of her abandoned car and the neighboring wooded areas.",
12-Mar-04,52,"Bangkok, Thailand","Somchai, a Thai Muslim lawyer and human-rights activist representing South Thailand insurgency terrorism suspects, was last seen in what may be a case of a forced disappearance.",
19-Mar-04,17,"Montgomery, Vermont, U.S.","Maitland vanished after leaving her job as a dishwasher at the Black Lantern Inn. Her car was discovered the next day, parked at an odd angle with its rear bumper smashed into an abandoned barn, about 1 mile (1.6 km) away. Maitland's belongings were found inside the vehicle, including a recent paycheck and her wallet. Authorities believe foul play to be involved in Maitland's case, and one theory is that she may have been smuggled across the nearby Canada–U.S. border.",
28-Mar-04,53,"Agoura Hills, California, U.S.","Perryman, a husband and father of two, vanished without a trace after leaving his car in the driveway of his family's suburban Los Angeles home and heading out on foot. Family and friends suspected that he may have gone hiking in one of the local rural areas, but despite many areas having been searched by police and local volunteers, no trace of him has been found.",
16-Apr-04,54,"Abidjan, Ivory Coast","Kieffer, a French Canadian journalist who had long covered West Africa, was kidnapped from a shopping mall's parking lot. Remains found eight years later possibly belonged to him, but have not been conclusively identified.",
May-04,Unknown,"Peshawar, Pakistan",Afghani was detained by the U.S. Central Intelligence Agency in Pakistan in May 2004 and his whereabouts are unknown.,
14-Aug-04,24,"Yunnan, China","Sneddon's disappearance near Tiger Leaping Gorge was a complete mystery, and the Chinese Government concluded that he drowned in Jinsha River, though no body had been recovered. However, in 2016, the Abductee's Family Union claimed to have found Sneddon in North Korea, where he became the personal English tutor for Kim Jong-un. The North Korean Government denies involvement in Sneddon's disappearance, and the U.S. State Department says that it has no verifiable evidence of this claim. Both the House of Representatives and Senate have unanimously voted to direct the State Department to reopen Sneddon's disappearance.",
12-Sep-04,8,"Figueira, Portugal","Cipriano disappeared in 2004. An investigation by the Polícia Judiciária, Portugal's criminal police, concluded that she had been murdered by her mother, Leonor Cipriano, and her uncle, João Cipriano, after witnessing them engage in incestuous sex. Her body was never found. Both suspects were convicted of murder based on apparent confessions, but later retracted their confessions, claimed that they are innocent and alleged police misconduct. Similarities to the disappearance of Madeleine McCann a short distance away in 2007 have been noted.",
11-Oct-04,25,"Piha, New Zealand","Asher, a model who was allegedly suffering from bipolar disorder, disappeared in controversial circumstances at Piha, west of Auckland, on 11 October 2004.",
19-Feb-05,34,"Philadelphia, Pennsylvania, U.S.","Danielle Imbo and Richard Petrone Jr. disappeared after leaving a bar on Philadelphia's South Street on 19 February 2005. Imbo and Petrone, as well as their vehicle have not been located, and their cell phones and personal finances have not been accessed since their disappearance. The FBI is investigating the case as a possible murder for hire, but have named no suspects.",
35,,,,
10-Mar-05,13,"Foley, Missouri, U.S.","Piper disappeared in Foley on 10 March 2005. Piper's mother had dropped her off a mile from their home, allowing her to walk back on her own, an activity recommended by Piper's therapist. However, Piper did not return home that evening and has not been heard from since.",
02-Apr-05,25,"Hermosillo, Mexico","Jiménez Mota, a journalist covering organized crime and the Mexican drug war, disappeared under mysterious circumstances in Hermosillo. In November 2005, a suspect, Raul Enrique Parra, was brutally murdered.",
15-Apr-05,59,"Centre Hall, Pennsylvania, U.S.","Gricar, an American district attorney, disappeared on 15 April 2005. He had called his girlfriend, in whose house he resided, from his car, giving his location east of Centre Hall. His car was found the next day, but he has not been seen or heard from since. His family had him declared legally dead in 2011. In September 2013, a reputed former Hells Angels member told authorities that Gricar was killed by the gang as retaliation. In April 2014, the Pennsylvania State police were reported to be assuming lead investigatory role in the case.",
18-May-05,7,"Kerala, India","Rahul Raju, a young boy from Alappuzha, went missing while playing with friends in his neighborhood. The case, which dominated media headlines since he disappeared, still remains a mystery.",
30-May-05,18,"Oranjestad, Aruba","Holloway, an American student from Alabama, was last seen before leaving a nightclub with three men, including Joran van der Sloot. She was declared dead in 2012, and van der Sloot was convicted of murder in the death of another young woman in Peru in 2010. In October 2023, Joran van der Sloot admitted to murdering Holloway in 2005.",
22-Jul-05,21,"Port Authority Bus Terminal, New York, NY","Seymour, a New Jersey resident, was working as a sex worker in New York City. She called her parents to let them know she was meeting a client at the Port Authority and was not heard from again. Seymour's age, occupation, and the location of her disappearance are similar to the victims of the Gilgo Beach serial killings and she is considered a potential victim who was never found.",
10-Nov-05,1,"Sydney, Australia","Rahma el-Dennaoui, a Lebanese-Australian girl, went missing on 10 November 2005. Despite a police search, and appeals to the general public, no trace of the little girl has yet been found.",
05-Jan-06,18,"Bremerton, Washington, U.S.","Pichler, a former child actor, disappeared near his hometown of Bremerton, and has not been seen since.",
23-Jan-06,24,"Orlando, Florida, U.S.","Kesse was last seen leaving her place of employment. Her last phone call was placed to her boyfriend at 10 p.m. that night. Evidence suggests that she left for work the next morning, but was abducted while walking to her vehicle, which was later found in another nearby apartment complex. Security cameras had filmed her car being parked, but the face of the person driving was obscured by a fence.",
22-Mar-06,Unknown,"Wright Sound, British Columbia, Canada","Shirley Rosette and Gerald Foisy, a Canadian couple, were last seen onboard BC Ferries' MV Queen of the North before it sank after running aground on Gil Island. The couple did not make it to the lifeboats and are presumed to have gone down with the ship; however, their bodies were not located when the wreck was searched by a remote-operated submersible four days later, nor on another remote dive in June of the same year. One passenger also reported having seen the couple amongst the survivors in Hartley Bay during the rescue efforts; however, a search of the small Aboriginal community of 200 people turned up nothing. Rosette and Foisy also did not contact relatives after the incident, and have not been seen or heard from since. The couple remain missing, presumed dead.",
Unknown,,,,
Apr-06,21,"Las Vegas, Nevada, U.S.","Foster, a Canadian woman, disappeared from the Las Vegas Valley during April 2006.",
01-Apr-06,27,"Columbus, Ohio, U.S.","Shaffer, an Ohio State University medical student, was last seen on security-camera footage apparently re-entering an off-campus bar shortly before its closing time. No other way was open to the public by which he could have left the bar. Police reportedly believed as of 2008[update] that he was still alive, and they continued to investigate at the time.",
12-May-06,19,"Ipswich, Suffolk, England","Durbin, a greengrocer and musician, disappeared under mysterious circumstances after a night out with his friends, Alex and Zach. After losing contact with Zach, and having left his belongings at Alex's house where he planned to spend the night, Luke was last seen crossing Dogs Head Street at approximately 4:00 a.m. BST in attempts to make his way back. The CCTV footage is the last positive sighting, before a suspicious vehicle later deemed to have fake registration plates is spotted in the vicinity minutes later. Luke has not been seen since.",
26-Jun-06,27,"Hagonoy, Bulacan, Philippines","Cadapan and Empeño, a community organizer and graduate student, respectively, were abducted by army personnel in a remote area on 26 June 2006, and have not been seen since.",
20,,,,
Jul-06,28,Republic of Gambia,"Manneh, a Gambian journalist, is believed by human rights organizations to have been arrested in July 2006, and secretly held in custody. In 2019, it was reported that he had died at some point in mid-2008.",
20-Aug-06,33–34,Sri Lanka,"Brown, a minority Sri Lankan Tamil Roman Catholic parish priest, disappeared during the Sri Lankan Civil War, and is believed to be dead.",
31-Aug-06,71,"Chicago, Illinois, U.S.","Zizzo, a high-ranking American mobster and reputed member of the Chicago Outfit, was last seen after leaving his home in Melrose Park, and has not been seen since.",
18-Sep-06,77,"Buenos Aires, Argentina","Argentine retired bricklayer López disappeared after testifying at trial against Dirty War criminal Miguel Etchecolatz, and has not been seen since.",
19-Nov-06,50,Iraq,"Al-Saffar, a member of the Dawa Party and the then-Deputy Health Minister of Iraq, was kidnapped by a group of armed men who wore police uniforms. In the following years, two politicians were arrested, but later cleared on charges relating to his kidnapping, and he has been declared legally dead by his wife, who now lives in Britain.",
15-Dec-06,55,"Colombo, Sri Lanka",The Sri Lankan academic and Vice-Chancellor of the Eastern University was kidnapped and presumably murdered by Tamil Makkal Viduthalai Pulikal paramilitary operatives.,
2007,50s–60s,Rwanda,"A former intelligence officer and radio broadcaster who worked for Radio Télévision Libre des Mille Collines, a state radio station which was notorious for supporting the Rwandan genocide, Nkurunziza's whereabouts have been unknown since 2007.",
2007,Unknown,Japan,"Inoue, a Japanese electronic music producer who created ambient techno and lowercase music, disappeared after the release of his final album Inland in 2007.",
17-Jan-07,66,"Yüksekova, Turkey","The Iranian actor, monarchist, and founder of the Kingdom Assembly of Iran, along with two compatriots, vanished on the Turkish–Iranian border while on a mission to ""liberate"" Iran from the government. It is believed the three were detained by Iranian security forces.",
27-Jan-07,63,"Farallon Islands, off San Francisco, California, U.S.","A computer scientist renowned for his contributions to database research, Gray disappeared during a short solo boating trip to the Farallons (near San Francisco) to scatter his mother's ashes. A massive search effort failed to find his body, or any remains of his 40-foot sailboat. He was declared legally dead in 2012.",
09-Mar-07,58,"Kish Island, Iran","Levinson, a retired U.S. DEA and FBI agent, was last seen on 9 March 2007 on Kish Island in the custody of individuals who seemed to be Iranian intelligence agents. He had gone there to set up a meeting with Dawud Salahuddin, an American-born convert to Islam, ostensibly about securing the Iranian government's help in controlling the distribution of pirated American cigarettes in Iran. He was later revealed to be working for the CIA at that time, as well. In 2010, a video of him, somewhat emaciated, was released, in which he begs for help from the U.S. government for his freedom. The U.S. government has regularly raised the issue of his release with Iran as part of talks between the countries, but Iran's statements as to whether he still is in their custody or even alive have been contradictory, and Levinson is thought to be no longer under their control. His family announced on 25 March 2020 that he is presumed dead.",
30-Apr-07,37,"Plainfield, Illinois, U.S.","Stebic was last seen by her husband at their home, while she was waiting for a ride to the local track where she worked out. The couple was going through a divorce at the time, and police believe foul play was involved, having called her husband a person of interest.",
03-May-07,3,"Algarve, Portugal","McCann disappeared after being left asleep in the ground-floor bedroom of her family's rented holiday apartment, while her parents dined with friends at a local restaurant. No sightings of her have been confirmed since then. In 2014, Scotland Yard was reportedly looking at 38 people of interest, and researching the backgrounds of 530 known sex offenders, including 59 regarded as of high interest. In June 2020, the police in the German city Braunschweig identified a new suspect in McCann's disappearance, and stated that they now believe that she is dead.",
04-Jul-07,14,"Cleveland, Ohio, U.S.","Summers was last seen leaving a pool party. No verified sightings of her have been confirmed since then. In December 2018, her uncle was charged with rape, but has not been named a suspect in her disappearance.",
12-Aug-07,46,"Riverside County, California",Spouse and personal assistant to Scientology leader David Miscavige. Disappeared from Gold Base in June 2006. Was seen one last time in public at her father's funeral in August 2007.,
06-Aug-07,20,"Rainbow Falls Provincial Park, Ontario, Canada","Calayca, a Toronto daycare worker, disappeared while on a camping trip in Northwestern Ontario, and has not been seen since. The 17-day search triggered on the day she went missing is one of the longest ever undertaken by the Ontario Provincial Police. Investigators believe she became lost on a hiking trail, though her family contends she may have been abducted.",
12-Aug-07,Unknown,"Delmas, Haiti","Pierre-Antoine, a Haitian human-rights and political activist, was kidnapped on 12 August 2007, and has not been seen since.",
30-Aug-07,39,"Brașov, Romania","Ghinescu, a Romanian lawyer, was last seen on 30 August 2007, and her disappearance was made official on 5 September the same year by Cristian Cioacă, her husband and a policeman in Brașov. Though her body was never found, a few personal belongings and a blood-stained police uniform were found 8 October 2007 in a ravine. She was officially declared missing in 2009, and Cioacă was sentenced to 22 years in jail in 2013, after being arrested in 2012. She was suggested to have been murdered due to jealousy after she had an affair with an SPP officer in Dubai in August 2007, a few days before her supposed disappearance, the murder taking place in the bathroom of her apartment, according to neighbors. She was also supposedly going to be targeted by authorities for tax evasion.",
14-Sep-07,14,"London, England","Gosden disappeared from King's Cross station. He left his home in Doncaster to go to school, but never caught the school bus, and instead returned home when the rest of the household had departed. He changed out of his school uniform and then went to Doncaster railway station, withdrawing £200 from his bank account on the way there. At the station, he purchased a one-way ticket to London, despite being told that for an extra £1, he could have a return ticket. He was last seen on CCTV leaving the main concourse at King's Cross.",
28-Oct-07,23,"Bolingbrook, Illinois, U.S.","Peterson left her home at 11 a.m. on 28 October 2007 to help a friend paint a house, and has not been seen since. Her husband Drew, who was later convicted of murdering his previous wife as a result of evidence gathered during the investigation into Stacy's disappearance, has been suspected of killing Peterson as well.",
29-Oct-07,34,"Vienna, Austria","Gillern disappeared on the evening of 29 October 2007, and has not been seen since.",
17-Nov-07,31,"Jaffna, Sri Lanka","Vadivel Nimalarajah was a proof reader for Jaffna-based Tamil daily newspaper Uthayan, which has been attacked several times by pro-government paramilitary Eelam People's Democratic Party (EPDP) for independent reporting. Earlier, two employees, Suresh Kumar and Ranjith Kumar, were killed after a Uthayan published a cartoon mocking Douglas Devananda, the leader of EPDP, and have been several such attacks. Four of its employees had been killed and its premises had been attacked several times in the previous two years.",
